objectID,footprint,area,height,label,data,index
4202,3131.0,4563.397165625,21.94,0,../data/data_root/data00/4202.pt,4202
4215,2051.0,6502.8812,19.96,0,../data/data_root/data00/4215.pt,4215
4271,1622.0,6503.15075,15.76,0,../data/data_root/data00/4271.pt,4271
4272,1977.0,6501.25105,17.06,0,../data/data_root/data00/4272.pt,4272
4285,2310.0,6571.6786,12.42,0,../data/data_root/data00/4285.pt,4285
4288,2501.0,7607.050927539062,17.02,0,../data/data_root/data00/4288.pt,4288
4307,2010.0,6705.0924,16.15,0,../data/data_root/data00/4307.pt,4307
4311,2004.0,3854.37875,14.29,0,../data/data_root/data00/4311.pt,4311
4338,2933.0,6553.74485,22.7,0,../data/data_root/data00/4338.pt,4338
4339,2396.0,6562.31265,25.55,0,../data/data_root/data00/4339.pt,4339
4373,3222.0,6892.60223125,13.89,0,../data/data_root/data00/4373.pt,4373
4387,2480.0,3917.89765,14.04,0,../data/data_root/data00/4387.pt,4387
4397,2318.0,6751.6048,25.56,0,../data/data_root/data00/4397.pt,4397
4410,2274.0,6975.8227,19.89,0,../data/data_root/data00/4410.pt,4410
4428,2178.0,6483.4287,14.87,0,../data/data_root/data00/4428.pt,4428
4431,2532.0,6730.92865,10.59,0,../data/data_root/data00/4431.pt,4431
4441,1726.0,2585.78863125,17.83,0,../data/data_root/data00/4441.pt,4441
4443,3862.0,8283.7946125,23.21,0,../data/data_root/data00/4443.pt,4443
4444,2110.0,8253.398084375,21.36,0,../data/data_root/data00/4444.pt,4444
4446,2868.0,3368.415284375,31.8,0,../data/data_root/data00/4446.pt,4446
4449,2494.0,6941.20723125,18.15,0,../data/data_root/data00/4449.pt,4449
4458,2719.0,7086.38605,16.06,0,../data/data_root/data00/4458.pt,4458
4460,2920.0,8267.1925375,24.61,0,../data/data_root/data00/4460.pt,4460
4461,2120.0,5922.133734375,22.02,0,../data/data_root/data00/4461.pt,4461
4469,2258.0,6513.37295,15.35,0,../data/data_root/data00/4469.pt,4469
4476,2823.0,6749.76745,25.2,0,../data/data_root/data00/4476.pt,4476
4479,4904.0,8299.010212890626,19.67,0,../data/data_root/data00/4479.pt,4479
4491,2548.0,7387.272,14.11,0,../data/data_root/data00/4491.pt,4491
4498,2342.0,5464.26625,23.7,0,../data/data_root/data00/4498.pt,4498
4500,2309.0,6586.93245,16.96,0,../data/data_root/data00/4500.pt,4500
4522,2446.0,6686.3358,13.8,0,../data/data_root/data00/4522.pt,4522
4525,1548.0,5403.7535,20.19,0,../data/data_root/data00/4525.pt,4525
4531,2575.0,6612.43745,22.24,0,../data/data_root/data00/4531.pt,4531
4550,2823.0,10033.177925585938,16.53,0,../data/data_root/data00/4550.pt,4550
