,index
2856,533748
2857,533749
2858,533750
2859,533751
2861,533756
2862,533757
2863,533759
2864,533763
2865,533764
2866,533765
2867,533767
2868,533769
2869,533771
2870,533774
2871,533785
2872,533786
2874,533797
2875,533807
2877,533812
2878,533813
2879,533815
2880,533819
2881,533820
2884,533831
2885,533835
2886,533838
2887,533839
2888,533841
2889,533846
2890,533853
2891,533854
2892,533857
2893,533862
2894,533868
2895,533874
2896,533876
2897,533877
2898,533880
2899,533882
2901,533885
2902,533886
2904,533890
2905,533891
2906,533893
2907,533896
2908,533899
2909,533900
2910,533909
2911,533910
2912,533911
2913,533915
2914,533916
2915,533920
2916,533921
2917,533926
2918,533929
2919,533930
2920,533934
2923,533943
2926,533955
2927,533959
2929,533965
2930,533966
2931,533967
2934,533979
2935,533980
2936,533985
2937,533987
2938,533990
2940,533994
2941,533995
2942,533996
2943,533998
2944,534001
2945,534002
2946,534005
2947,534006
2948,534007
2949,534008
2950,534009
2951,534017
2953,534021
2954,534025
2955,534026
2956,534027
2957,534028
2958,534029
2959,534030
2960,534031
2961,534034
2962,534038
2963,534039
2964,534040
2965,534044
2966,534045
2967,534046
2968,534047
2969,534048
2972,534055
2973,534056
2975,534058
2976,534059
2979,534063
2980,534067
2981,534068
2982,534070
2984,534077
2987,534081
2990,534088
2991,534096
2993,534098
2994,534099
2995,534105
2996,534106
2997,534107
2998,534109
2999,534110
3001,534113
3002,534114
3003,534120
3004,534121
3005,534123
3006,534125
3007,534126
3009,534128
3010,534130
3011,534135
3012,534137
3014,534145
3015,534146
3016,534149
3017,534150
3018,534151
3019,534152
3020,534154
3022,534157
3023,534159
3025,534163
3026,534165
3027,534167
3028,534168
3029,534169
3030,534171
3031,534173
3032,534179
3033,534181
3036,534186
3037,534187
3038,534188
3039,534189
3040,534191
3041,534193
3042,534197
3043,534201
3044,534202
3045,534203
3046,534207
3047,534208
3048,534211
3049,534212
3051,534220
3052,534223
3053,534224
3054,534225
3055,534228
3056,534229
3057,534232
3058,534236
3059,534237
3060,534239
3061,534240
3062,534241
3063,534250
3065,534257
3066,534261
3069,534264
3070,534265
3071,534267
3072,534269
3073,534270
3074,534271
3077,534279
3079,534289
3081,534294
3082,534295
3085,534302
3086,534303
3087,534304
3089,534306
3090,534309
3091,534311
3092,534313
3093,534314
3095,534316
3096,534317
3097,534318
3098,534321
3099,534328
3101,534336
3102,534338
3103,534341
3104,534348
3105,534351
3106,534352
3107,534353
3108,534355
3109,534356
3110,534357
3112,534360
3113,534361
3114,534364
3115,534376
3118,534388
3119,534389
3120,534391
3121,534393
3122,534397
3125,534410
3128,534413
3129,534417
