,OBJECTID,idf.kw,FootprintArea.m2,building.area.m2
4622,8946,SingleFamily-pre-1980,295.42229096758166,246.6495
4623,8952,SingleFamily-2004,267.4342216071615,228.1624
4624,8953,SingleFamily-2004,185.89715746557616,188.2154
4625,8954,SingleFamily-2004,504.8713094781322,7124.8726
4626,8955,SingleFamily-pre-1980,297.7921547763037,301.7392
4627,8956,SingleFamily-pre-1980,183.10246109032252,150.1264
4628,8957,SingleFamily-pre-1980,313.2219791022877,225.747
4629,8958,SingleFamily-pre-1980,351.69878345772617,292.0776
4630,8959,SingleFamily-pre-1980,244.11209621353743,258.6336
4631,8962,SingleFamily-pre-1980,273.3781715880376,237.3595
4632,8963,SingleFamily-2004,420.2895364154396,438.9525
4635,8966,SingleFamily-pre-1980,219.4539002148841,230.5778
4636,8967,SingleFamily-pre-1980,248.6677916629263,259.0052
4637,8968,SingleFamily-pre-1980,264.3540073190497,142.9731
4638,8969,SingleFamily-pre-1980,231.61037234495905,142.9731
4639,8970,SingleFamily-pre-1980,234.8152253212078,142.9731
4640,8974,SingleFamily-pre-1980,305.52044613240577,204.9374
4641,8976,SingleFamily-pre-1980,284.3915426557454,173.723
4642,8977,SingleFamily-pre-1980,417.96717201457136,297.0942
4643,8978,SingleFamily-pre-1980,294.2662372219145,201.5001
4644,8979,SingleFamily-pre-1980,206.7274458257193,264.3005
4645,8980,SingleFamily-pre-1980,279.9867253285007,269.9674
4646,8981,SingleFamily-pre-1980,552.0774812741411,309.9144
4647,8982,SingleFamily-pre-1980,303.7008276210416,201.3143
4648,8983,SingleFamily-pre-1980,496.1127489787641,327.008
4649,8985,SingleFamily-pre-1980,559.0915590319939,629.862
4650,8986,SingleFamily-pre-1980,471.60457626061,245.9063
4651,8987,SingleFamily-2004,482.3402108025021,528.2294
4652,8991,SingleFamily-2004,527.2268143661283,346.6099
4653,8992,SingleFamily-pre-1980,452.0163527866241,276.0988
4654,8993,SingleFamily-pre-1980,454.9609510835056,251.9448
4655,8995,SingleFamily-2004,383.288328641773,385.1634
4656,8997,SingleFamily-pre-1980,322.9382427208279,209.5824
4657,8998,SingleFamily-pre-1980,225.8623660107928,185.9858
4658,8999,SingleFamily-pre-1980,297.53205632943,237.9169
4659,9000,SingleFamily-pre-1980,256.998931097348,270.7106
4660,9001,SingleFamily-2004,208.0079890231325,317.9038
4661,9002,SingleFamily-2004,351.2200612819709,300.6244
4662,9003,SingleFamily-pre-1980,217.32029764877717,173.723
4663,9004,SingleFamily-pre-1980,196.95550108290965,144.924
4664,9005,SingleFamily-pre-1980,181.56077530686412,233.6435
4665,9006,SingleFamily-pre-1980,230.37566491681216,195.9261
4666,9007,SingleFamily-pre-1980,296.9008542120197,259.2839
4667,9009,SingleFamily-pre-1980,216.44662522060776,135.634
4668,9010,SingleFamily-pre-1980,346.67957878285176,192.8604
4669,9011,SingleFamily-pre-1980,224.9533555238511,284.4598
4670,9012,SingleFamily-2004,298.3865960316036,290.3125
4671,9013,SingleFamily-2004,280.3727688429187,344.8448
4672,9016,SingleFamily-pre-1980,493.47963200781567,460.2266
4673,9017,SingleFamily-pre-1980,445.4406084388447,273.126
4674,9021,SingleFamily-pre-1980,383.4987029256958,226.1186
4675,9023,SingleFamily-pre-1980,370.302131801174,189.0515
4676,9025,SingleFamily-pre-1980,365.09811024380485,333.511
4677,9026,SingleFamily-pre-1980,430.15524942768127,308.5209
4678,9028,SingleFamily-pre-1980,366.6802115874477,243.4909
4680,9030,SingleFamily-2004,353.04431134375955,243.4909
4681,9031,SingleFamily-2004,443.6992730681096,290.777
4682,9033,SingleFamily-pre-1980,455.63405702434346,416.7494
4683,9034,SingleFamily-pre-1980,239.76153410282896,233.4577
4684,9035,SingleFamily-pre-1980,341.7064968650299,267.0875
4685,9036,SingleFamily-pre-1980,298.7639530500107,251.9448
4686,9037,SingleFamily-2004,420.64033727539686,414.334
4687,9038,SingleFamily-2004,558.430195895074,550.5254
4688,9040,SingleFamily-pre-1980,207.8053216029157,228.0695
4689,9042,SingleFamily-pre-1980,273.11226914550406,169.6354
4690,9043,SingleFamily-pre-1980,264.9882239513412,175.4881
4691,9044,SingleFamily-pre-1980,242.27475088498045,154.0282
4692,9045,SingleFamily-pre-1980,260.2779714450443,133.9618
4693,9051,SingleFamily-pre-1980,422.0742809665291,233.7364
4694,9052,SingleFamily-2004,621.1278449984619,722.4833
4695,9053,SingleFamily-2004,363.1264981849134,430.3128
4696,9055,SingleFamily-2004,367.85869365911793,426.9684
4697,9058,SingleFamily-2004,294.1088535179909,359.7088
4698,9059,SingleFamily-2004,355.3415449978699,431.5205
4699,9062,SingleFamily-2004,340.78117389558065,426.9684
4700,9063,SingleFamily-pre-1980,330.057386630069,344.8448
4701,9064,SingleFamily-2004,215.3487308215041,313.1659
4702,9066,SingleFamily-pre-1980,227.3546921277568,285.9462
4703,9067,SingleFamily-pre-1980,234.44708322770316,239.0317
4704,9068,SingleFamily-2004,281.0398267522796,510.8571
4705,9069,SingleFamily-pre-1980,197.4242034136335,224.6322
4706,9070,SingleFamily-pre-1980,376.2805993813796,259.0052
4707,9071,SingleFamily-pre-1980,235.0466005226388,326.9151
4708,9072,SingleFamily-pre-1980,352.2931355652692,265.4153
4709,9073,SingleFamily-pre-1980,275.161914218011,272.3828
